freeMints,address
17,0x8f63e3cD0D14cAef993E59B4e01e3D404cF3c1B7
17,0x2E2989015f5818A256EB967940454EfE8a0B4b5d
17,0x927a146e18294efb36edCacC99D9aCEA6aB16b95
17,0x4757D97449acA795510b9f3152C6a9019A3545c3
17,0x424bFb32f78731252a6BCeDc828E38e2701DAAEf
17,0xC66fAdfFeb6DA3b9A7FA3C71130F881e3a9B13fb
100,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
100,0x70997970C51812dc3A010C7d01b50e0d17dc79C8
100,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC
100,0x90F79bf6EB2c4f870365E785982E1f101E93b906
100,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65
